Matrix size, Result size, Result score, Result loop, Result delta, HResult size, HResult score, HResult loop, HResult delta
2, 1, 0, -1, 16, 1, 0, -1, 2
3, 1, 0, -1, 8, 1, 0, -1, 2
4, 2, 0.361727, 72.3036, 20, 2, 0.361727, 72.3036, 3
5, 2, 0.566151, 41.0011, 18, 2, 0.566151, 41.0011, 3
6, 2, 0.904346, 40.2137, 18, 2, 0.904346, 40.2137, 3
7, 3, 1.61011, 57.5966, 37, 3, 1.61011, 57.5966, 5
8, 3, 0.516546, 65.4529, 36, 3, 0.516546, 65.4529, 6
9, 2, 0.0471128, 57.4328, 18, 2, 0.0471128, 57.4328, 4
10, 3, 1.91781, 73.2998, 63, 3, 1.91781, 73.2998, 7
11, 3, 0.605812, 74.9031, 38, 3, 0.605812, 74.9031, 7
12, 3, 0.847323, 73.7557, 64, 3, 0.662521, 54.617, 7
13, 2, 0.62609, 53.3474, 20, 2, 0.62609, 53.3474, 6
14, 4, 2.71978, 74.184, 90, 4, 2.71978, 74.184, 10
15, 3, 0.520086, 74.6491, 39, 3, 0.520086, 74.6491, 9
16, 6, 2.62032, 70.5781, 705, 5, 2.61054, 67.1266, 14
17, 2, 0.247656, 70.6229, 31, 2, 0.119204, 58.6034, 7
18, 4, 1.97677, 68.0482, 100, 4, 1.97677, 68.0482, 14
19, 5, 1.67943, 71.1738, 332, 5, 1.67943, 68.2648, 16
20, 3, 1.45674, 74.1712, 153, 3, 1.45674, 74.1712, 11
21, 4, 2.07486, 72.4954, 271, 4, 1.9804, 67.229, 14
22, 5, 1.94228, 71.6344, 687, 4, 1.73201, 71.6194, 16
23, 3, 1.07954, 72.231, 44, 3, 1.07954, 72.231, 12
24, 5, 2.47077, 74.4276, 395, 4, 2.19264, 68.7048, 12
25, 4, 1.02865, 66.4495, 211, 3, 0.806904, 71.0293, 10
26, 4, 1.64584, 71.4744, 1044, 4, 1.5039, 62.1295, 11
27, 1, 0, -1, 8, 1, 0, -1, 4
28, 3, 0.98401, 74.6472, 111, 4, 0.815512, 71.8307, 11
29, 4, 1.47039, 72.9257, 102, 4, 1.47039, 72.9257, 11
30, 5, 3.3291, 71.7497, 195, 5, 3.3291, 71.7497, 14
31, 4, 1.30174, 69.6554, 71, 4, 1.30174, 69.6554, 12
32, 6, 2.17741, 70.6315, 336, 3, 1.56, 67.7903, 10
33, 3, 0.929921, 70.9116, 64, 3, 0.929921, 70.9116, 10
34, 5, 2.05796, 74.6787, 345, 4, 1.62492, 66.9249, 13
35, 5, 3.43973, 74.7741, 1087, 5, 3.43973, 74.7741, 10
36, 7, 3.58605, 74.9559, 2169, 6, 2.85229, 70.6209, 9
37, 5, 3.42729, 68.216, 885, 5, 3.42729, 72.8159, 8
38, 6, 3.96065, 74.5943, 1124, 6, 3.78876, 73.1326, 9
39, 6, 2.40693, 73.3593, 279, 6, 2.40693, 74.5665, 9
40, 6, 2.72474, 74.6516, 1499, 5, 2.24734, 72.1027, 13
41, 8, 2.88498, 73.0922, 3782, 6, 2.31328, 74.2482, 32
42, 5, 3.01138, 72.2934, 377, 5, 2.68098, 73.2662, 9
43, 6, 2.80108, 74.4338, 1378, 5, 2.44701, 74.0015, 9
44, 5, 2.14268, 72.2227, 338, 4, 2.00463, 70.3141, 8
45, 5, 2.572, 72.7148, 450, 5, 2.572, 72.7148, 9
46, 8, 4.60194, 73.1771, 2642, 7, 4.4021, 71.8438, 13
47, 7, 3.78662, 74.3245, 2704, 5, 2.94977, 72.7221, 10
48, 6, 3.81673, 74.3081, 11488, 7, 3.24794, 73.9477, 13
49, 7, 5.06252, 74.3477, 554, 7, 5.06252, 73.2079, 12
50, 7, 3.17734, 74.7194, 1656, 6, 3.02109, 72.5641, 11
51, 8, 4.33138, 74.82, 8483, 8, 4.33138, 74.82, 15
52, 9, 5.59964, 74.0816, 11515, 7, 4.38292, 71.264, 14
53, 4, 1.9487, 74.0654, 47, 4, 1.9487, 74.0654, 8
54, 3, 1.69487, 74.7713, 112, 4, 1.46731, 72.5787, 9
55, 6, 2.91269, 74.8015, 379, 5, 2.14328, 74.9948, 11
56, 6, 1.96365, 74.3351, 222, 4, 1.76037, 74.5679, 9
57, 7, 3.52952, 73.9428, 13551, 6, 2.87841, 74.5858, 15
58, 8, 4.94089, 72.9314, 1789, 8, 4.94089, 72.9314, 17
59, 8, 5.40464, 73.4141, 7301, 6, 3.15048, 74.9972, 17
60, 7, 3.70689, 73.8225, 729, 7, 3.70689, 73.5161, 19
61, 7, 2.73756, 74.1411, 783, 5, 2.01587, 74.3918, 12
62, 9, 5.63015, 74.9135, 7237, 5, 2.70313, 74.8343, 15
63, 8, 4.86665, 73.4379, 6578, 8, 3.96317, 74.4233, 18
64, 8, 3.82215, 70.7325, 19831, 4, 2.25068, 71.6164, 12
65, 4, 2.33517, 74.6931, 160, 3, 1.87405, 74.296, 8
66, 6, 2.88655, 72.4888, 2394, 4, 2.1116, 72.1635, 11
67, 8, 3.67033, 74.7791, 11635, 5, 3.16528, 74.6582, 18
68, 8, 3.97744, 73.7911, 9700, 6, 3.83306, 74.5441, 17
69, 8, 3.87522, 70.0788, 5578, 5, 2.95056, 69.025, 15
70, 8, 4.09271, 73.6899, 34220, 6, 3.7813, 72.7035, 18
71, 8, 4.308, 72.982, 3783, 6, 3.93079, 69.4013, 17
72, 8, 3.64677, 74.7442, 4246, 6, 2.46919, 74.731, 22
73, 8, 4.17912, 74.174, 1387, 5, 2.88588, 72.5034, 15
74, 9, 5.26918, 74.5237, 23244, 8, 3.9537, 73.7415, 23
75, 8, 5.34238, 73.7751, 12713, 8, 4.79696, 73.0692, 22
76, 3, 1.83693, 74.4958, 42, 3, 1.83693, 74.4958, 10
77, 8, 4.97661, 74.7997, 30819, 6, 3.32866, 72.154, 22
78, 8, 3.4283, 73.6659, 6487, 3, 1.40485, 74.7059, 10
79, 11, 5.99985, 74.9375, 166092, 6, 3.28586, 71.7684, 19
80, 11, 5.32382, 74.1746, 240329, 8, 4.92213, 74.6902, 29
81, 11, 5.08281, 74.8012, 127134, 9, 4.50994, 73.148, 27
82, 10, 4.27968, 73.3425, 120899, 11, 4.20004, 72.0641, 32
83, 10, 5.61848, 74.0005, 123050, 8, 4.68951, 74.5316, 24
84, 11, 5.40148, 74.4747, 1075432, 7, 4.39876, 74.6455, 23
85, 5, 2.28162, 74.9178, 116, 4, 1.99123, 74.9089, 13
86, 9, 5.81255, 74.8822, 97573, 8, 4.91417, 74.9716, 25
87, 6, 3.68725, 74.8032, 415, 6, 3.68725, 74.8032, 18
