Matrix size, Result size, Result score, Result loop, Result delta, HResult size, HResult score, HResult loop, HResult delta
2, 1, 0, -1, 12, 1, 0, -1, 1
3, 1, 0, -1, 5, 1, 0, -1, 1
4, 2, 0.449888, 70.3149, 14, 2, 0.449888, 70.3149, 3
5, 3, 0.90619, 65.5653, 29, 3, 0.90619, 65.5653, 3
6, 2, 0.0476654, 71.5365, 12, 2, 0.0476654, 71.5365, 3
7, 3, 1.32228, 63.7388, 25, 3, 1.32228, 63.7388, 4
8, 3, 1.24186, 47.8825, 30, 3, 1.24186, 47.8825, 4
9, 2, 0.424789, 72.8636, 27, 2, 0.424789, 72.8636, 3
10, 3, 1.09672, 63.0648, 27, 3, 1.09672, 63.0648, 5
11, 4, 0.93733, 72.398, 65, 3, 0.850829, 57.9313, 5
12, 3, 0.889944, 71.5251, 32, 3, 0.889944, 71.5251, 5
13, 6, 2.31279, 60.6606, 462, 6, 2.31279, 72.0866, 10
14, 4, 1.05892, 67.6848, 160, 2, 0.408901, 73.1898, 5
15, 3, 1.02815, 67.2828, 34, 2, 0.860951, 64.7589, 5
16, 2, 0.381978, 41.9773, 14, 2, 0.381978, 41.9773, 5
17, 3, 0.865777, 51.9243, 73, 2, 0.826964, 46.599, 5
18, 5, 2.63109, 72.3575, 309, 3, 0.898857, 71.7903, 7
19, 5, 3.03886, 68.9877, 234, 4, 2.37465, 74.7318, 9
20, 2, 0.810829, 32.7557, 16, 2, 0.810829, 32.7557, 6
21, 4, 1.78387, 69.3695, 77, 4, 1.78387, 69.3695, 10
22, 4, 1.20994, 74.3659, 84, 3, 1.18209, 71.7243, 9
23, 1, 0, -1, 8, 1, 0, -1, 4
24, 7, 3.52541, 67.5239, 8458, 5, 3.19756, 73.0921, 8
25, 6, 3.01212, 70.3197, 203, 4, 2.36945, 64.1488, 5
26, 4, 1.59905, 73.1914, 81, 3, 1.51735, 72.0128, 4
27, 4, 2.04473, 72.4003, 53, 3, 1.81676, 68.8678, 4
28, 3, 1.77118, 72.5159, 36, 3, 1.77118, 72.5159, 4
29, 3, 1.07713, 69.6268, 47, 3, 1.02541, 57.966, 4
30, 6, 2.93733, 68.0393, 236, 5, 2.37956, 51.5619, 7
31, 5, 2.58888, 72.1215, 328, 4, 1.91875, 67.5124, 7
32, 4, 2.1335, 54.8536, 77, 4, 2.1335, 42.7012, 7
33, 5, 2.11004, 74.7772, 271, 3, 1.32564, 58.927, 6
34, 5, 2.86043, 73.6154, 708, 4, 2.33247, 73.9494, 6
35, 5, 1.30984, 73.4268, 77, 4, 1.29052, 66.2061, 6
36, 5, 1.98059, 74.953, 210, 5, 1.95804, 65.3681, 8
37, 5, 1.66407, 74.1293, 78, 4, 1.59331, 73.5375, 7
38, 6, 3.03359, 74.8712, 653, 4, 1.83884, 70.7865, 7
39, 8, 4.39941, 74.9116, 1136, 6, 3.36362, 74.8646, 10
40, 4, 2.27451, 72.64, 160, 4, 2.27451, 72.64, 7
41, 5, 2.29446, 74.7064, 153, 3, 1.50636, 74.6264, 6
42, 5, 2.27159, 74.2693, 339, 5, 1.42591, 70.6497, 9
43, 4, 1.91483, 74.9653, 44, 4, 1.91483, 74.9653, 7
44, 3, 1.66008, 72.445, 23, 2, 0.326733, 74.3966, 4
45, 8, 6.15672, 73.4274, 7119, 5, 3.3226, 72.8956, 11
46, 5, 2.33468, 74.8113, 929, 4, 1.53413, 65.7568, 8
47, 7, 2.98061, 72.9114, 1664, 5, 2.2671, 68.9, 10
48, 7, 3.13328, 74.9016, 46119, 9, 2.95262, 73.6745, 18
49, 8, 3.54903, 74.606, 33439, 4, 2.5272, 71.9464, 9
50, 5, 2.78582, 74.5254, 326, 4, 1.77535, 72.6599, 8
51, 4, 1.25951, 66.0181, 134, 4, 1.25951, 66.0181, 8
52, 7, 3.62789, 74.9435, 2253, 4, 1.94605, 73.3488, 9
53, 6, 3.99548, 74.9397, 1016, 5, 2.19679, 74.4225, 11
54, 5, 2.68968, 73.2306, 155, 5, 2.46942, 71.6515, 10
55, 8, 3.63946, 72.2763, 4573, 7, 3.30493, 63.8377, 15
56, 4, 2.17376, 74.3731, 118, 4, 2.07164, 74.204, 9
57, 8, 3.28983, 71.7145, 4103, 7, 2.97105, 73.3481, 14
58, 7, 4.33075, 74.3821, 5181, 5, 3.43484, 72.8535, 11
59, 8, 5.29663, 74.9972, 33919, 5, 3.50379, 74.6002, 17
60, 5, 2.44653, 74.2251, 1048, 4, 1.89857, 73.9722, 13
61, 9, 6.33156, 74.0065, 40881, 8, 6.21099, 74.8161, 20
62, 9, 3.7754, 74.8314, 11235, 6, 1.96789, 73.1089, 15
63, 6, 3.02635, 74.9558, 651, 5, 2.13821, 74.9258, 12
64, 8, 4.12025, 74.029, 14789, 7, 3.31502, 73.816, 18
65, 9, 3.71004, 74.1351, 8579, 5, 1.96238, 73.9674, 13
66, 9, 4.29958, 73.2423, 10800, 8, 4.00066, 69.3336, 19
67, 6, 3.15133, 74.4703, 557, 6, 3.15133, 74.8506, 14
68, 10, 4.7516, 73.6631, 15611, 6, 3.78241, 74.2023, 16
69, 9, 3.18773, 74.5564, 14837, 5, 2.25164, 73.9761, 13
70, 8, 4.86026, 74.5773, 12879, 5, 2.72275, 71.2106, 14
71, 8, 3.83381, 74.656, 4215, 5, 3.24714, 58.5925, 19
72, 7, 5.18358, 72.4605, 3692, 6, 4.35836, 68.9045, 22
73, 9, 4.9507, 74.9074, 9951, 7, 3.65818, 74.9532, 25
74, 6, 3.49524, 74.322, 1927, 5, 2.74202, 74.1788, 19
75, 8, 4.63172, 74.2457, 149204, 8, 3.89729, 73.9651, 27
76, 9, 4.52061, 71.4962, 28540, 6, 3.25008, 74.2764, 24
77, 7, 4.8037, 74.8146, 5355, 6, 3.80641, 72.9839, 29
78, 12, 6.9436, 74.4424, 1450113, 7, 4.14298, 73.9425, 22
79, 4, 2.19566, 74.113, 97, 3, 1.70291, 74.2664, 10
80, 5, 2.66189, 74.1993, 1302, 5, 2.50563, 74.4304, 15
81, 9, 5.49137, 72.6537, 106166, 6, 4.22512, 73.9962, 19
82, 8, 3.84713, 72.9756, 5958, 7, 3.10017, 74.9736, 21
83, 7, 3.52523, 71.8585, 6009, 6, 3.45214, 74.8084, 19
84, 7, 3.80266, 73.7984, 18603, 7, 2.85051, 69.5551, 25
85, 10, 5.46622, 73.8929, 9747, 10, 5.46622, 72.662, 29
86, 11, 5.44072, 74.7545, 602703, 6, 3.39668, 71.7538, 27
87, 6, 2.6196, 74.761, 3924, 5, 2.35431, 73.8017, 17
88, 8, 4.94643, 74.904, 20140, 7, 4.24968, 74.1767, 22
89, 8, 4.40444, 74.4266, 8212, 5, 2.16033, 74.7444, 17
90, 8, 4.17778, 74.9113, 4706, 5, 2.6422, 74.5867, 16
91, 11, 6.82802, 73.1218, 767493, 8, 4.47172, 70.04, 26
92, 9, 3.49562, 74.756, 15556, 5, 2.52721, 72.6772, 17
93, 10, 5.52864, 73.9232, 168585, 5, 2.29456, 73.6407, 18
